"Date","Day_of_month","Nweek","Month","Num_offices","Num_employees","shift1_trans","shift2_trans","shift1_em","shift2_em","shift_all_em","Max_check","Min_check","Mean_check","Trans_amount","Trans_sum","Trans_mean","Class1","Class2","Class3","Class1.1","Class2.1","Class3.1"
"2013-06-05",5,22,6,1,2,7,6,0,0,2,3,1,1.23076923076923,13,1600,123.076923076923,0.846153846153846,0.153846153846154,0,"11","2","0"
"2013-06-06",6,22,6,1,2,2,3,0,0,2,3,1,1.6,5,800,160,0.6,0.4,0,"3","2","0"
"2013-06-07",7,22,6,1,2,3,6,0,0,2,1,1,1,9,900,100,1,0,0,"9","0","0"
"2013-06-08",8,22,6,1,1,2,1,0,0,1,2,1,1.33333333333333,3,400,133.333333333333,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-06-09",9,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-06-10",10,23,6,1,2,3,6,0,0,2,4,1,1.55555555555556,9,1400,155.555555555556,0.875,0.125,0,"7","1","0"
"2013-06-11",11,23,6,1,2,4,4,0,0,2,2,1,1.25,8,1000,125,0.75,0.25,0,"6","2","0"
"2013-06-12",12,23,6,1,4,0,12,0,4,0,3,1,1.25,12,1700,141.666666666667,0.833333333333333,0.166666666666667,0,"10","2","0"
"2013-06-13",13,23,6,1,2,6,10,0,0,2,3,1,1.4375,16,2300,143.75,0.6875,0.3125,0,"11","5","0"
"2013-06-14",14,23,6,1,1,1,5,0,0,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-06-15",15,23,6,1,1,1,1,0,0,1,3,1,2,2,400,200,0.5,0.5,0,"1","1","0"
"2013-06-16",16,23,6,1,1,0,4,0,1,0,1,1,1,4,400,100,1,0,0,"4","0","0"
"2013-06-17",17,24,6,1,4,3,4,1,2,1,2,1,1.14285714285714,7,1100,157.142857142857,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-06-18",18,24,6,1,2,7,7,0,0,2,2,1,1.07142857142857,14,1545,110.357142857143,0.928571428571429,0.0714285714285714,0,"13","1","0"
"2013-06-19",19,24,6,1,4,10,6,1,0,3,3,1,1.4375,16,2270,141.875,0.6875,0.3125,0,"11","5","0"
"2013-06-20",20,24,6,1,2,4,12,0,0,2,1,1,1,16,1600,100,1,0,0,"16","0","0"
"2013-06-21",21,24,6,1,3,2,4,1,1,1,2,1,1.16666666666667,6,700,116.666666666667,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-06-22",22,24,6,1,1,2,3,0,0,1,2,1,1.4,5,700,140,0.6,0.4,0,"3","2","0"
"2013-06-23",23,24,6,1,2,0,2,0,2,0,1,1,1,2,200,100,1,0,0,"2","0","0"
"2013-06-24",24,25,6,1,3,4,1,2,0,1,2,1,1.2,5,600,120,0.8,0.2,0,"4","1","0"
"2013-06-25",25,25,6,1,2,4,3,0,0,2,2,1,1.14285714285714,7,800,114.285714285714,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-06-26",26,25,6,1,2,6,9,0,0,2,3,1,1.2,15,1800,120,0.866666666666667,0.133333333333333,0,"13","2","0"
"2013-06-27",27,25,6,1,3,2,1,2,1,0,2,1,1.33333333333333,3,400,133.333333333333,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-06-28",28,25,6,1,3,4,2,1,0,2,4,1,1.66666666666667,6,1100,183.333333333333,0.8,0.2,0,"4","1","0"
"2013-06-29",29,25,6,1,1,0,3,0,1,0,1,1,1,3,300,100,1,0,0,"3","0","0"
"2013-06-30",30,25,6,1,2,4,2,1,0,1,2,1,1.16666666666667,6,700,116.666666666667,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-07-01",1,26,7,1,2,0,7,0,2,0,2,1,1.14285714285714,7,900,128.571428571429,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-07-02",2,26,7,1,1,3,4,0,0,1,2,1,1.14285714285714,7,900,128.571428571429,0.857142857142857,0.142857142857143,0,"6","1","0"
